Empresa,Classe,Codigo_old,,Setor,Segmento,Codigo
Eletropar,ON,LIPR3,.SA,Utilidade pblica,Energia eletrica,LIPR3.SA
Emae,ON,EMAE3,.SA,Utilidade pblica,Energia eletrica,EMAE3.SA
Emae,PN,EMAE4,.SA,Utilidade pblica,Energia eletrica,EMAE4.SA
Embraer,ON,EMBR3,.SA,Bens industriais,Material aeron utico e de defesa,EMBR3.SA
Enauta Part,ON,ENAT3,.SA,Petrleo g s e biocombustiveis,Explorao refino e distribuio,ENAT3.SA
Encorpar,ON,ECPR3,.SA,Consumo ciclico,Fios e tecidos,ECPR3.SA
Encorpar,PN,ECPR4,.SA,Consumo ciclico,Fios e tecidos,ECPR4.SA
Energias BR,ON,ENBR3,.SA,Utilidade pblica,Energia eletrica,ENBR3.SA
Energisa,ON,ENGI3,.SA,Utilidade pblica,Energia eletrica,ENGI3.SA
Energisa,PN,ENGI4,.SA,Utilidade pblica,Energia eletrica,ENGI4.SA
Energisa,UNT N2,ENGI11,.SA,Utilidade pblica,Energia eletrica,ENGI11.SA
Energisa Mt,ON,ENMT3,.SA,Utilidade pblica,Energia eletrica,ENMT3.SA
Energisa Mt,PN,ENMT4,.SA,Utilidade pblica,Energia eletrica,ENMT4.SA
Eneva,ON,ENEV3,.SA,Utilidade pblica,Energia eletrica,ENEV3.SA
Engie Brasil,ON,EGIE3,.SA,Utilidade pblica,Energia eletrica,EGIE3.SA
Eqtl Maranhao,ON,EQMA3B,.SA,Utilidade pblica,Energia eletrica,EQMA3B.SA
Eqtl Maranhao,PNA,EQMA5B,.SA,Utilidade pblica,Energia eletrica,EQMA5B.SA
Eqtl Maranhao,PNB,EQMA6B,.SA,Utilidade pblica,Energia eletrica,EQMA6B.SA
Eqtl Para,ON,EQPA3,.SA,Utilidade pblica,Energia eletrica,EQPA3.SA
Eqtl Para,PNA,EQPA5,.SA,Utilidade pblica,Energia eletrica,EQPA5.SA
Eqtl Para,PNB,EQPA6,.SA,Utilidade pblica,Energia eletrica,EQPA6.SA
Eqtl Para,PNC,EQPA7,.SA,Utilidade pblica,Energia eletrica,EQPA7.SA
Equatorial,ON,EQTL3,.SA,Utilidade pblica,Energia eletrica,EQTL3.SA
Estrela,ON,ESTR3,.SA,Consumo ciclico,Brinquedos e jogos,ESTR3.SA
Estrela,PN,ESTR4,.SA,Consumo ciclico,Brinquedos e jogos,ESTR4.SA
Eternit,ON,ETER3,.SA,Bens industriais,Produtos para construo,ETER3.SA
Eucatex,ON,EUCA3,.SA,Materiais basicos,Madeira,EUCA3.SA
Eucatex,PN,EUCA4,.SA,Materiais basicos,Madeira,EUCA4.SA
Even,ON,EVEN3,.SA,Consumo ciclico,Incorporaes,EVEN3.SA
Excelsior,ON,BAUH3,.SA,Consumo no ciclico,Carnes e derivados,BAUH3.SA
Excelsior,PN,BAUH4,.SA,Consumo no ciclico,Carnes e derivados,BAUH4.SA
Eztec,ON,EZTC3,.SA,Consumo ciclico,Incorporaes,EZTC3.SA
Fer Heringer,ON,FHER3,.SA,Materiais basicos,Fertilizantes e defensivos,FHER3.SA
Ferbasa,ON,FESA3,.SA,Materiais basicos,Siderurgia,FESA3.SA
Ferbasa,PN,FESA4,.SA,Materiais basicos,Siderurgia,FESA4.SA
Finansinos,ON,FNCN3,.SA,Financeiro,Soc. cr‚dito e financiamento,FNCN3.SA
Fleury,ON,FLRY3,.SA,Saude,Servios medicohospitalares an lises e diagnsticos,FLRY3.SA
Flex S/A,ON,FLEX3,.SA,Bens industriais,Servios diversos,FLEX3.SA
FrasLe,ON,FRAS3,.SA,Bens industriais,Material rodoviario,FRAS3.SA
Gafisa,ON,GFSA3,.SA,Consumo ciclico,Incorporaes,GFSA3.SA
Gama Part,ON,OPGM3B,.SA,Financeiro,Outros,OPGM3B.SA
Generalshopp,ON,GSHP3,.SA,Financeiro,Explorao de imveis,GSHP3.SA
Ger Paranap,ON,GEPA3,.SA,Utilidade pblica,Energia eletrica,GEPA3.SA
Ger Paranap,PN,GEPA4,.SA,Utilidade pblica,Energia eletrica,GEPA4.SA
Gerdau,ON,GGBR3,.SA,Materiais basicos,Siderurgia,GGBR3.SA
